17,Wie wird der Seeboden eingeteilt?,"Ufer, Hang, Wysse, Halde, Schweb, tiefhalde, Tiefer Schweb","Ufer, Schweb, Tiefer Schweb, Tiefhalde, Halde, Wysse, Hang","Ufer Wysse, Hang, Schweb, Tiefhalde, Tiefer Schweb, Halde",Allgemeine Fragen zum Bodensee
18,Wie groß ist die Entfernung von Konstanz nach Bregenz?,46 km ,27 km ,65 km ,Allgemeine Fragen zum Bodensee
19,Wie weit sind Ludwigshafen und Bregenz voneinander entfernt?,17 km ,23 km ,27 km ,Allgemeine Fragen zum Bodensee
20,Wie groß ist die Entfernung von Konstanz nach Stein am Rhein?,27 km ,13 km ,45 km ,Allgemeine Fragen zum Bodensee
21,Wie heißen die wichtigsten Naturschutzgebiete am Bodensee?,"Eriskricher Ried, Wollmatinger Ried, Halbinsel Mettnau","Wollmatinger Ried, Höri, Halbinsel Eriskrich","Insel Reichenau, Mettnau, Wollmatingen",Allgemeine Fragen zum Bodensee
22,Wie sind die Naturschutzgebiete markiert?,"Durch weiße Dreiechstrafeln, grüner Rand, schwarzer Adler und der Aufschrift “Naturschutzgebiet”",Druch grüne Tafeln mit weißem Rand und der Aufschrift “Naturschutz”,“Weiße Tafel mit roter Aufschrift “Naturschutzgebiet”,Allgemeine Fragen zum Bodensee
23,Welche Vorschirften müssen in den Naturschutzgebieten beachtet werden?,"Abstand halten, nicht hineinfahren, “Anlanden” verboten",Vorsichtiges Anlanden mit hochgeklapptem Motor,"Langsames Einfahren, um die Vögel nicht aufzuschrecken",Allgemeine Fragen zum Bodensee
24,"Welcher Mindesabstand muss bei Beständen von Wasserpflanzen wie Binsen, Schilf und Seerosen eingehalten werden? ",25 m,50 m,200 m,Allgemeine Fragen zum Bodensee
25,"Welche Bestimmungen müssen ein Sportbootfahrer und seine Mitfahrer beachten, wenn sie den Fischfang als Sportfischer ausüben wollen?",Erlaubnis und Befähigung muss vorhanden sein,Die Angel muss der Fischgröße angepasst sein,Es dürfen nciht mehr als 3 Angeln an Bord sein ,Allgemeine Fragen zum Bodensee
26,Welches ist die größte Breite des Bodensees?,14 km zwischen Friedrichshafen und Arbon,12 km zwischen Konstanz und Arbon,19 km zwischen Friedirchshafen und Meersburg,Allgemeine Fragen zum Bodensee
27,in welchen besonders gekennzeichneten Gebieten darf mit dem Vergüngungsfahrzeug nicht angelandet werden?,In Naturschutzgebieten,In Häfen und an Steganlagen,Auf den Stecken des Seerheins,Allgemeine Fragen zum Bodensee
28,Wie wird die Verbindung zwischen Ober- und Untersee genannt?,Seerhein,Alter Rhein,Neuer Rhein,Allgemeine Fragen zum Bodensee
